d_loss, g_loss
9.934592, 0.0016139547
9.900042, -0.0045770495
9.81128, -0.028446266
9.654293, -0.067817315
9.385444, -0.16209368
8.942461, -0.38198292
8.473021, -0.77203774
7.76682, -1.428481
6.8797474, -2.5174918
6.0421324, -4.3208113
5.2365055, -6.5003033
4.127102, -8.910079
3.5204077, -13.56477
1.356051, -16.89455
0.12018585, -23.458572
-1.4073505, -28.665339
-2.6891475, -32.4246
-6.622547, -45.462173
-9.0668, -52.678467
-10.422627, -58.36274
-14.280695, -74.090324
-14.834927, -88.2113
-22.581673, -92.759964
-28.913668, -95.26439
-27.271595, -113.96075
-33.960403, -119.939575
-31.784462, -135.07164
-34.826153, -130.20547
-41.104332, -151.88286
-45.791462, -155.58513
-42.319386, -127.58833
-57.746254, -126.22824
-36.46695, -172.12076
-51.814903, -168.08122
-75.51082, -146.92682
-53.831367, -147.94907
-44.842575, -136.63477
-58.290474, -79.23797
-43.33405, -105.20804
-78.09369, -104.37053
-70.702255, -108.80791
-74.76787, -112.57274
-89.85603, -96.287025
-35.30225, -82.20112
-141.06003, -51.91169
-104.561646, -57.311455
-130.41066, -78.16949
-156.02547, -63.296253
-83.32376, -42.087276
-88.28169, -57.572044
-90.92227, -41.621323
-64.26373, 7.023409
-95.73953, -13.124768
-104.24922, 6.049761
-64.44813, 2.332817
-110.11276, 7.6607513
-32.55008, 20.671696
-131.33324, 32.688423
-108.42816, 59.090088
-51.42631, 52.498775
-149.42514, 9.505181
-102.6006, 1.0650325
-96.404106, -31.567986
-85.66765, -46.151505
-103.855446, -56.391876
-46.726494, -50.788845
-89.177284, -36.2658
-124.60054, -37.11908
-75.29315, -39.420494
-94.78407, 1.5961347
-88.99075, -14.345158
-81.12555, -67.84516
-144.66681, -30.952759
-111.353584, -18.581795
-134.62051, -23.121296
-144.16106, -49.187115
-163.72005, -30.890106
-82.39673, -38.986923
-93.55743, -58.831703
-75.945885, -48.006073
-116.74873, -26.48806
-147.93129, -33.14832
-109.69156, -9.472503
-120.61008, 7.6655383
-55.16253, -25.94993
-111.82144, -39.912174
-82.031815, 11.185891
-128.50214, -35.063744
-92.68035, -30.446232
-110.80819, -52.12465
-103.79743, 2.8465538
-57.8952, 1.6306901
-84.62113, -22.863895
-109.77067, -35.511856
-110.88339, -12.1049
-83.682045, -42.845364
-54.220306, -39.8556
-121.27765, -34.941956
-96.82387, -9.877224
-95.92696, -28.415178
-66.517876, -50.546364
-108.1615, -0.23469257
-109.93161, -14.438665
-93.83544, 7.3434405
-122.829445, -28.434498
-119.45425, -29.39242
-88.30378, 20.7071
-139.45242, 13.803343
-119.027756, -0.38804626
-53.90718, -5.3295903
-101.265884, -1.466835
-160.40573, 18.851238
-98.65439, -15.840019
-69.7487, 20.010334
-140.82681, -12.931652
-97.66841, -10.68255
-116.14285, -14.092933
-118.52559, 39.190804
-106.56484, -18.912457
-137.62631, 43.213158
-107.47467, 2.0801463
-97.01193, 6.500512
-84.81688, 21.599724
-122.013725, -1.1492357
-82.148, -19.881746
-85.1713, -3.0587347
-97.1315, 19.959885
-110.26717, 15.547256
-117.526, 11.627411
-73.89309, -31.937048
-92.54092, -5.477828
-105.64929, 0.36929226
-79.67706, -33.946033
-79.14, -11.431203
-70.72998, 9.982787
-96.52865, -22.665443
-92.48998, -30.147453
-95.82444, -15.812617
-70.90285, -22.835295
-100.16736, -8.388056
-103.33386, -47.866936
-102.04472, -23.468876
-58.900406, -57.90966
-70.98627, -15.43677
-80.07144, -29.581522
-80.64787, -67.99707
-103.67775, -43.49259
-91.99291, -30.151203
-118.324524, -46.641003
-115.22807, -39.751244
-90.977066, -43.553963
-108.055954, -49.495533
-84.67102, -60.660423
-78.96042, -37.309128
-85.86198, -46.749496
-88.56576, -44.93669
-69.27609, -73.73812
-71.32811, -61.87597
-83.09874, -61.790546
-99.60681, -48.396393
-144.68222, -32.746365
-94.67888, -70.998055
-97.66391, -25.140398
-104.43086, -10.953781
-107.00752, -71.1937
-82.60666, -83.07894
-108.802704, -102.55211
-81.28608, -66.88229
-75.87816, -72.95766
-58.91433, -80.04057
-86.8392, -82.06403
-67.36592, -56.559193
-40.371162, -86.83188
-84.90982, 12.286726
-67.44063, -31.356129
-111.53377, -15.935944
-97.42157, 5.0492725
-66.71698, -25.457396
