d_loss, g_loss
6.6190267, 0.8456133
1.8742828, 1.4924829
-7.9071846, 2.636945
-24.123762, 6.3594
-48.43253, 10.905415
-73.73814, 5.8197346
-91.9891, -6.24081
-103.898415, -39.53632
-119.12502, -63.430298
-107.72686, -91.80188
-116.629944, -107.66519
-131.98068, -126.13103
-128.1895, -120.43394
-119.93591, -111.37925
-129.64476, -112.47949
-122.52813, -95.80872
-140.81784, -100.40492
-145.49155, -104.36247
-141.29492, -56.382168
-153.30676, -54.604176
-149.12733, -17.66781
-148.5306, -14.352206
-143.61679, -13.367807
-147.86966, -5.7883058
-143.18655, -18.902729
-137.60712, 5.303505
-140.65675, 7.6544056
-130.17865, 16.382584
-147.26495, -8.751919
-118.00902, -24.421436
-113.754944, 18.961697
-131.16385, 41.968697
-140.45422, 59.812016
-117.22385, -14.621714
-108.176445, 23.611397
-113.89897, 29.32272
-106.60425, 48.779007
-112.42729, 15.003143
-114.887115, 64.210236
-130.81685, 81.49232
-128.42352, 33.874413
-104.95964, 20.030382
-104.76666, 35.076252
-130.8312, 90.55011
-74.660446, 32.20556
-108.55232, 36.832973
-115.91297, 81.12074
-98.66626, 44.472885
-100.387665, 63.417397
-107.9875, 49.40007
-95.22913, 59.454807
-109.208755, 66.22605
-88.30685, 69.66898
-93.79281, 69.255035
-87.87209, 25.36134
-95.108185, 49.715176
-66.5387, 38.660393
-111.04046, 103.603714
-99.81472, 108.54394
-75.52295, 41.838154
-95.44771, 89.153046
-83.931206, 36.118313
-76.84753, 91.24127
-80.419464, 48.653866
-89.72212, 95.58154
-98.60137, 76.965256
-89.44145, 100.58347
-38.755882, 62.285286
-79.22724, 88.4662
-69.67297, 100.159096
-72.84922, 77.75284
-68.24089, 90.43352
-61.944084, 71.05561
-72.9637, 39.529915
-55.24193, 94.35399
-46.092613, 81.432915
-47.324837, 80.52316
-51.549545, 81.950096
-59.068783, 86.81894
-48.01825, 76.010925
-48.208168, 75.1288
-51.63816, 110.76569
-52.56935, 70.42884
-40.911346, 88.758606
-61.444763, 114.50986
-57.05061, 69.334404
-41.487244, 95.69701
-40.45964, 80.449615
-45.333668, 134.46664
-55.15098, 129.04932
-46.32908, 145.09944
-48.0254, 123.56619
-46.196632, 103.869675
-45.827435, 124.2823
-42.09647, 120.35401
-36.70507, 99.41202
-44.96346, 132.98497
-40.49115, 131.53967
-49.26865, 164.9082
-46.5884, 163.13043
-38.071045, 132.2134
-46.08649, 130.14127
-51.963566, 162.7044
-47.407455, 156.5602
-49.626617, 126.47928
-51.044968, 146.59402
-48.133472, 162.21512
-50.071198, 123.61685
-41.93775, 125.25693
-46.324123, 142.6193
-43.690712, 155.30913
-45.988503, 167.21738
-38.57087, 121.905205
-37.61559, 112.32442
-43.502335, 137.01605
-47.444244, 138.69345
-44.14972, 133.48412
-37.44441, 95.53574
-43.982857, 154.56772
-46.587208, 153.09564
-41.83551, 120.87033
-40.833023, 110.06676
-49.19214, 144.21805
-40.634712, 115.75963
-35.57756, 101.251816
-42.943817, 122.30101
-38.458683, 123.46001
-40.198246, 122.21488
-44.578835, 117.09226
-41.347496, 142.02423
-43.018402, 116.32748
-40.67635, 146.09225
-39.4398, 101.4109
-33.595177, 116.05749
-39.23301, 124.92715
-41.137157, 126.34593
-34.65739, 97.00402
-31.572433, 74.396484
-39.69314, 138.58136
-32.99206, 92.20813
-32.104416, 110.917984
-38.935814, 87.496185
-33.640118, 96.60965
-31.163454, 110.80296
-31.657742, 84.244125
-29.779205, 90.4791
-37.45526, 105.71333
-32.21898, 73.03131
-40.086456, 121.266235
-35.073166, 99.02191
-31.564606, 102.37551
-34.248398, 88.45592
-33.39195, 87.142166
-24.331875, 86.1976
-35.735535, 102.66498
-41.90425, 118.85258
-35.04081, 104.19182
-33.49569, 78.46406
-30.564827, 61.336224
-29.45333, 34.451263
-36.754143, 84.81708
-34.280674, 59.928192
-33.66217, 80.925705
-29.478031, 88.63858
-30.627441, 95.32603
-32.350346, 93.39526
-33.85625, 104.25932
-33.221313, 99.86899
-34.811783, 115.363594
-29.366325, 98.37247
-27.772713, 92.16563
-24.887775, 69.248215
-25.40168, 55.672066
-31.12053, 75.88507
-31.915625, 106.34313
-30.475883, 86.451935
-36.30471, 70.62377
-30.882957, 57.205666
-27.875547, 52.838093
-25.196981, 45.761524
-30.540886, 69.94554
-26.995045, 72.66389
-30.308615, 67.4411
-28.139984, 67.66853
-28.137669, 59.34026
-28.110527, 70.863266
-30.82019, 89.274734
-29.383205, 81.79096
-27.658657, 60.6625
-23.601372, 75.358505
-28.09418, 46.07872
-26.907234, 72.39017
-25.463943, 49.9216
-24.86351, 66.150055
-31.645237, 94.51596
-27.461706, 71.55266
-23.15371, 41.691505
-27.186684, 53.929367
-25.585974, 42.726322
-26.083717, 30.945171
-26.966599, 70.75383
-22.99426, 55.493027
-26.854242, 69.606155
-25.255257, 66.688644
-26.690872, 72.988106
-24.678452, 65.0269
-21.28297, 51.908844
-23.508509, 61.490154
-25.107523, 49.076225
-24.088049, 47.83192
-26.205301, 67.96395
-20.023027, 30.25132
-30.77111, 69.23935
-30.581692, 95.38051
-27.394278, 42.198563
-20.19465, 18.10531
-23.530811, 29.052292
-19.612541, 37.524673
