d_loss, g_loss
9.920957, -0.0030728378
9.826386, -0.010126244
9.520898, -0.02093961
8.568556, -0.28185996
6.410667, 0.27674788
3.8056173, 0.60836166
0.17457008, 0.51284313
0.6133418, -0.71952385
-7.9282403, 1.3634784
-10.838643, -5.38829
-29.669128, -9.745319
-50.29708, -7.6016893
-67.27129, -16.03408
-70.04368, -17.727232
-128.77815, -13.593176
-113.28434, -50.212082
-193.85573, -57.355236
-202.87825, -65.035385
-168.4036, 25.734
-178.89435, 36.587193
-168.85611, 51.97822
-220.81795, -85.606674
-217.91705, -73.61123
-247.863, -106.74359
-252.09358, 46.74398
-305.52826, -80.041405
-298.21027, -57.12243
-287.5927, 27.425564
-318.3285, 4.9845343
-176.80707, -75.593636
-249.40353, -54.66442
-303.48254, -14.939012
-326.41974, -2.129177
-340.61847, 167.73257
-211.83725, 23.976091
-274.10907, 36.184856
-212.99052, -12.783754
-248.50539, -40.67286
-248.84967, 43.677864
-292.06183, -13.560865
-223.66512, 32.519333
-279.20233, 122.577805
-320.48297, 79.59875
-258.73248, 30.115873
-175.53061, 45.89277
-268.59497, 21.8976
-254.10912, -28.436771
-277.0357, -49.508904
-285.1867, -124.02439
-292.51825, -121.60051
-269.23596, -10.005636
-298.24426, 42.82364
-241.53333, 43.218445
-270.88995, 74.76107
-274.96295, -72.897675
-295.57916, -70.88641
-274.1725, -48.099728
-351.088, -5.134815
-239.33694, 52.290535
-325.28546, 234.46776
-219.18701, 157.88516
-258.31128, 60.213272
-188.92648, -84.68704
-356.72043, -30.050827
-245.8761, -71.95202
-170.83882, -3.0935144
-315.6347, -45.69438
-333.6029, -24.689405
-215.03827, -97.04875
-339.24637, -86.80042
-362.75323, -70.53077
-286.82443, -32.193718
-273.3696, -38.857037
-245.47018, 3.4123287
-338.84268, -137.0781
-318.86963, 205.21915
-375.8735, 29.190865
-234.56575, -22.009602
-361.49518, -43.818634
-317.24426, 53.777084
-284.4837, 71.313774
-372.17963, -11.382257
-354.8987, 106.792274
-302.39722, -88.09425
-283.66882, -93.42284
-444.26892, -89.68782
-492.67886, 6.851326
-500.75256, -86.458115
-302.2838, -116.95212
-349.10574, -13.120316
-464.5937, -4.870632
-376.40594, -18.626583
-428.28214, -20.993856
-309.41687, -50.11671
-379.76813, 46.30273
-364.61618, 59.583595
-259.93805, 60.825066
-260.61615, -40.719696
-388.84714, 54.056885
-269.12143, 55.750328
-273.9064, -6.972662
-386.47256, -21.291351
-336.98114, 115.70904
-484.2362, -13.746616
-448.19934, 57.49283
-338.74316, 87.654816
-258.95932, 40.94789
-446.0442, 28.821342
-222.82082, 127.69862
-316.60944, 39.55037
-311.81012, 101.140366
-398.55112, 130.70114
-335.57193, 114.996475
-320.4015, 149.61684
-286.90555, 103.81565
-419.57465, 88.62527
-274.48682, 36.822395
-359.1713, 107.59634
-73.11691, 166.99503
-337.49216, 23.970081
-329.69604, 94.4629
-306.9796, 152.90807
-165.43643, 71.036575
-270.0556, 142.77403
-427.61108, 21.57537
-347.8131, 44.491074
-302.2178, 136.1071
-289.3191, 70.210915
-362.29483, -9.445324
-167.05208, 24.904667
-335.62103, 239.81952
-237.17406, 140.33388
-240.5985, 58.4759
-349.68845, 5.164364
-364.04443, -39.34548
-273.02716, 26.32869
-284.82275, 45.307426
-287.82214, -50.007385
-233.18622, 41.625034
-209.03839, 12.334933
-398.9918, 127.947014
-306.74347, 56.38777
-256.888, 87.50622
-224.28708, 134.85162
-297.3372, 41.414856
-278.37476, 7.844097
-360.28778, 2.34791
-146.27365, 68.696884
-210.46054, 97.94438
-341.95557, 114.06274
-259.53293, 38.987797
-324.16144, 0.62002754
-238.31096, 37.865242
-393.18835, 77.98591
-207.15541, -22.332623
-281.87012, 43.680557
-160.02847, 45.424595
-276.7308, 136.35036
-231.42618, 8.039608
-378.83838, 63.783752
-236.39581, 105.69692
-242.6611, -44.269073
-285.0108, 166.88608
-336.15115, 33.443665
-270.24292, -5.3053513
-307.274, 19.99171
-248.43027, 33.398026
-196.75636, 63.79622
-353.58734, 20.58054
-318.7862, -7.627982
-188.21548, -38.725132
-317.26636, 146.70688
-209.05292, 11.92738
-206.93889, 59.782814
-237.29309, 43.45246
-194.9682, 14.650977
-250.19977, -10.445484
-301.41583, 32.958214
-292.17438, -42.050377
-264.52582, -64.60983
-265.03198, 71.11392
-138.57092, -35.102707
-261.24826, -2.6495705
-241.2008, -8.4006195
-241.04736, -64.359665
-283.50134, -79.36759
-244.18402, 14.917718
-179.20128, -78.430954
-233.26636, -16.261448
-359.4859, -23.049866
-272.93436, 8.50753
-176.7171, 29.88039
-153.26245, -19.49528
-265.05133, 61.843536
-258.88397, -14.870226
-180.00427, -45.32787
-188.7574, 55.4431
-225.91139, -47.070663
-196.02542, 10.247189
-136.43533, 37.90662
-245.19896, 7.6550007
-271.2321, -25.654
-296.61145, 40.652115
-266.17892, -51.20468
-215.70737, -17.345144
-268.48315, -41.391735
-242.05415, -0.56753826
-258.17438, -88.91746
-240.03952, -66.04815
-233.38791, 4.6370697
-299.0144, -54.372032
-271.69574, -75.66391
-206.46642, -68.72958
-252.7666, -7.429493
-231.84653, 24.546291
-293.5675, -85.015976
-204.2977, -6.6068764
-199.03304, 152.77403
-215.12732, -44.719383
-240.28406, 5.453739
-212.91685, 12.793552
-208.06439, -14.621517
-273.63043, -1.2621264
-181.42844, 18.536676
-192.00706, 10.640928
-239.19872, -41.527615
-157.42032, -72.93254
-185.80563, -25.136051
-222.91833, -67.25614
-217.77432, 4.2602196
-246.7042, -26.372097
-257.41473, -43.01921
-156.08206, 35.520958
-212.04565, -21.239555
-94.32835, -91.92485
-122.752335, -68.372475
-290.7182, -77.53552
-185.56963, -52.63703
-233.14651, -63.09735
-144.80478, -39.45017
-267.3542, -10.148031
-151.92688, -62.6465
-128.06412, -46.957848
-185.3244, -57.961674
-193.43413, -49.885193
-128.86412, -79.81579
-171.63948, -61.54432
-190.41, -58.25716
-209.68076, 8.606099
-277.9568, -28.360676
-199.2464, -24.334692
-175.60138, -26.25301
-320.32803, -53.771923
-217.63054, 44.4177
-174.93283, -3.5794888
-174.75177, -20.932104
-285.96683, -36.900734
-139.60136, 0.45440292
-269.59927, 23.520803
-133.5511, -58.43548
-294.8194, -6.317667
-258.57794, -70.66051
-193.88205, -89.19969
-195.48549, -41.14438
-261.3798, -76.88113
-231.06143, -63.245464
-124.11757, -105.79253
-365.37936, -52.56794
-327.5235, -27.68393
-206.08806, -80.685776
-208.53693, -56.838104
-227.63335, -49.36587
-222.68114, -26.293924
-276.25275, -68.018074
-313.63824, -41.56432
-256.97336, -57.27011
-163.02026, -58.382298
-246.12656, 32.198914
-265.79517, -24.760544
-219.30795, 42.292595
-271.3637, -83.739456
